epoch,steps,Accuracy,Accuracy_Threshold,F1,F1_Threshold,Precision,Recall,Average_Precision
0,-1,0.91375,0.5016911,0.6193078324225866,0.42175832,0.6827309236947792,0.5666666666666667,0.6161772467151028
1,-1,0.9216666666666666,0.57359135,0.6346153846153847,0.5300303,0.75,0.55,0.656900006308258
2,-1,0.9208333333333333,0.59108347,0.6486486486486486,0.38137352,0.7058823529411765,0.6,0.6824514014341334
